,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
2,2,3,"Duke 1 seed, ✅",ACC,34,29-5,119.48,88.26,.97013,53.459,44.69,17.7117,19.888,36.112,29.7243,34.6136,247,58.34,44.919,30.2338,29.37,73.818,11.51
167,167,162,Duquesne,A10,32,19-13,103.9162,104.2185,.4915162,49.9210,49.9133,19.8258,21.628,31.962,35.1349,35113,31.9151,51.1130,49.5141,32.2280,33.8136,70.880,-6.6143
257,257,249,East Carolina,Amer,31,10-21,98.3271,105.4216,.3090249,46.1331,51178,19209,19.5105,28.2183,31279,35.6100,41.8333,47.7263,52255,28.4349,32.980,69.7131,-12.8253
119,119,116,East Tennessee St.,SC,32,24-10,107.889,102.1147,.6523116,54.629,52.6258,20275,20.561,376,23.917,30265,30.5113,5526,48.5102,35.995,39.1348,68.3206,-1.667
309,309,299,Eastern Illinois,OVC,31,14-18,99.2257,110.7306,.2201299,49.6223,53.6300,18.8194,18.4178,29.2138,30.5269,28.7286,33.1188,46.7296,50.3184,36.284,39345,68.1216,-12.3245
252,252,244,Eastern Kentucky,OVC,29,13-18,98.5264,105.1206,.3212244,47.8300,53.2292,18.2148,21.529,27.3210,31.1283,32.6193,39.7320,47.7263,54.4323,32288,34148,78.42,-11.5228
161,161,156,Eastern Michigan,MAC,28,15-17,101.8205,101.5139,.5065156,48.5274,50.8172,20.8308,20.178,34.322,34.9348,33.9155,32153,50.5161,50.4189,29.9340,34.2164,64.2344,-8.1170
248,248,240,Eastern Washington,BSky,33,16-18,100.1244,106.6243,.3255240,50.3189,52.5254,17.174,16.6290,24.6283,23.616,27311,34.8227,48.9226,50.1176,34.8150,37.4320,68.8173,-12239
303,303,293,Elon,CAA,30,11-21,99.1258,109.5287,.2407293,52112,53.6300,18.4160,15.2334,22.4331,28.3176,24.3340,29.479,52.286,51.5234,34.6159,37.8325,69.3146,-16.1315
268,268,259,Evansville,MVC,30,11-21,97.9277,105.5220,.2982259,49.4236,50139,18.5171,17.1262,18.9351,26.279,37.559,37.5282,47.9254,49123,34.2179,34.8199,70.882,-14.6293
214,214,207,FIU,CUSA,28,19-13,100.9223,104.6194,.3985207,49254,53281,17.7117,23.56,25.6261,34.1340,37.262,35.7245,52.191,53.5298,29.8341,34.8199,78.91,-8168
296,296,286,Fairfield,MAAC,31,9-22,95.6308,104.9201,.2561286,50.7172,52.6258,20.7303,21.432,26.1244,28.9213,23.9346,40.1325,49.5205,51.2222,35136,36.6289,69.1154,-17.8333
227,227,220,"Fairleigh Dickinson 16 seed, ✅",NEC,32,21-13,105.5133,110.4300,.3724220,54.827,51.7214,19.6247,20.368,29.8114,32.9325,35.4103,29.684,51.5109,51.1218,40.55,35.1214,67.9225,-9.3196
24,24,25,"Florida 10 seed, ✅",SEC,34,19-15,110.057,91.716,.890225,49.9210,48.465,18136,22.615,31.185,31.7300,30.4254,33.6203,49.8197,48.6105,33.5220,3249,64.1345,0.547
329,329,318,Florida A&M,MEAC,29,12-19,88.3347,101.4136,.1682318,49.1246,48.570,24.6352,21.725,27.9192,32.4316,31.1235,40.5328,46.9292,50.4189,36.474,30.219,66.2312,-14.2287
162,162,157,Florida Atlantic,CUSA,29,17-15,98.3270,98.283,.5052157,47.9295,4849,20.7303,18.1196,29150,25.247,28.6287,32.1157,47.3278,47.976,32.5262,32.155,68.7187,-9.2192
229,229,222,Florida Gulf Coast,ASun,30,14-18,99.9247,104.8198,.3657222,52.691,52.1234,21.2318,19.2125,25.6261,30.8273,31.9214,27.437,50.7151,49.9159,36.954,36.8298,69.6132,-11.3224
15,15,16,"Florida St. 4 seed, ✅",ACC,34,27-7,112.133,91.012,.916916,50.7172,47.332,19.2222,20.368,33.140,26.9113,36.379,36.1257,51136,46.230,33.6212,32.670,69.7127,88
249,249,241,Fordham,A10,31,12-20,96.4300,102.7159,.3254241,46.8322,49.5117,16.442,19.1131,25.1272,28166,24.5338,36.9273,44.7338,49.6146,33239,32.980,66.2313,-14.8295
177,177,172,Fort Wayne,Sum,30,18-15,106.5119,107.3255,.4791172,55.816,54317,16.862,17.1262,23.1321,28.6197,26.9314,2512,55.815,52255,37.247,38328,72.926,-9.6198
83,83,81,Fresno St.,MWC,31,23-9,107.2100,99.095,.713881,54.531,48.570,18.2148,19.5105,27.4207,25.451,30.2260,35232,51.996,50.2180,38.222,30.723,69161,-1.971
63,63,62,Furman,SC,30,25-8,107.498,96.453,.777562,55.419,47.946,18.4160,20.178,28.7164,30255,24.9334,24.29,56.78,48.6105,3691,31.227,67.8233,-0.556
189,189,183,"Gardner Webb 16 seed, ✅",BSth,31,23-11,105.7130,107.7263,.4477183,54.827,50.2148,16.862,18.1196,22.6329,31279,39.232,27.741,53.848,49.9159,37.736,33.8136,68.5202,-5.1124
175,175,170,George Mason,A10,33,18-15,102.9181,103.6170,.4794170,50.1199,50.2148,18.9204,18.2186,29150,27.2132,34.2148,30.6117,50.5161,51.6242,33239,3249,69.1160,-6.8150
281,281,272,George Washington,A10,33,9-24,95.5310,104.3188,.2674272,45.8335,51.2190,18.2148,17.1262,23.4315,28.5191,32.6193,30.2103,45.3330,49.8156,31.1315,35.6244,68.6192,-15.7310
91,91,89,Georgetown,BE,33,19-14,108.378,101.2125,.687189,51159,50.2148,17.9128,16.3305,29.1144,26.279,38.243,30.3107,49.6201,49.6146,35.6103,34148,73.419,-2.173
128,128,125,Georgia,SEC,32,11-21,104.9144,100.2111,.6286125,50.1199,48.570,22.5333,15.5327,32.747,31279,41.317,29.993,51.1130,47.874,32.2280,33.2102,69.9118,-7.6160
102,102,100,Georgia Southern,SB,31,21-12,107.1102,100.6119,.6728100,54.337,51.4200,18.6181,2083,27.4207,28.7203,35113,31.3130,56.87,51.7246,32.4267,34148,74.613,-5123
115,115,112,"Georgia St. 14 seed, ✅",SB,32,24-9,106.8108,101.0122,.6551112,54.432,50.1145,16.651,21.142,23.3316,33.6337,35.796,31.3130,51.8102,50.5193,38.417,3389,71.171,-1.566
126,126,123,Georgia Tech,ACC,32,14-18,100.0245,95.338,.6357123,49.2242,45.715,21313,18.7155,25.3268,31.6296,34.3143,34.8227,50.7151,46.332,30.7330,29.712,68.3212,-4.5110
1,1,2,"Gonzaga 1 seed, ✅",WCC,33,30-3,124.01,90.810,.97292,59.61,44.28,14.511,18.9144,30.699,27.1122,3688,25.114,62.31,43.15,36.567,30.925,71.948,6.912
298,298,288,Grambling St.,SWAC,31,17-17,94.7319,103.9177,.2552288,50206,45.111,22.1328,18209,25.8253,29.4227,437,42.3336,45.5326,44.715,40.26,30.622,70.594,-11.6230
