,Unnamed: 0,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
154,154,150,Florida Atlantic,CUSA,10,4–6,96.6294,94.750,.5548150,48.4256,45.735,20.8308,17.8157,23297,23.951,26.2302,31156,48.1248,43.923,32.4254,32.187,66.7218,-4.4245
229,229,222,Florida Gulf Coast,ASun,10,6–4,98.6265,103.6160,.3628222,5536,46.546,21.7329,18.1144,21.9319,30.3257,29.8220,29.9124,52.770,44.635,38.455,32.8100,66.7218,-2.6167
10,10,11,"Florida St. 4 seed, ✅",ACC,10,8–2,110.864,86.32,.946711,48.1273,44.316,18.2204,15.9267,28.5153,23.849,31.2190,30.7147,47.3268,43.923,32.8245,3033,67202,4.15
293,293,283,Fordham,A10,10,2–8,90.7340,100.1107,.2449283,41.7351,48.280,15.453,15.1306,23.3292,28.5196,23.1333,2996,39.5348,46.872,29.8326,33.6130,67.6172,-5.8309
125,125,122,Fort Wayne,Sum,10,5–5,107.7114,103.6161,.6096122,56.419,50.6177,13.617,16.8212,21.3327,26.9143,22.8335,20.86,53.651,49.1152,39.828,35.3201,72.420,-3.6214
93,93,91,Fresno St.,MWC,10,7–3,107.3119,100.4115,.681891,55.726,49.7135,16.496,18.5125,23.9279,24.668,26.4299,38.1292,51.796,50.3193,39.334,32.696,68.6129,-0.572
52,52,51,Furman,SC,10,7–3,111.948,96.164,.850951,56.618,46.444,16.9120,20.257,26.8200,32.5308,28.4256,23.727,58.86,47.391,36.1119,29.932,66.6221,-0.987
124,124,121,"Gardner Webb 16 seed, ✅",BSth,10,8–2,109.484,105.1192,.6140121,57.212,49109,15.661,14.4325,21333,28.8203,41.921,21.38,55.826,47.6101,39.828,33.9142,67.8165,-0.676
227,227,220,George Mason,A10,10,5–5,104.6155,109.7271,.3662220,48.1273,51.9223,19.6267,17204,35.722,29.8237,33.4131,25.345,45.1313,50.8212,36.2115,35.7213,66.2246,-2.8178
307,307,297,George Washington,A10,10,2–8,96.7291,108.1247,.2173297,44.8331,52226,17.6160,15311,24.9260,27.6169,31.8174,31.5166,42.8332,50.6201,32.9241,35.9220,66.3239,-5.7306
143,143,139,Georgetown,BE,10,4–6,105.6144,103.1148,.5685139,47.9282,51.3205,16.9120,16.3247,28.5153,29.8237,34.7102,32.6196,48.6227,51.6248,31.1304,33.9142,70.560,-1.8126
146,146,142,Georgia,SEC,10,1–9,102.3202,100.0105,.5649142,47.3299,50143,22333,15.6285,27.3186,33.5323,42.815,34.1223,48.9213,49.5162,29.9323,34146,65.8265,-3.8225
75,75,74,Georgia Southern,SB,10,7–3,105.9139,97.276,.729574,54.253,47.670,18.8231,20.257,30112,27.7174,33.9118,37.2279,56.818,47.7105,31.4299,31.666,71.928,-1.4109
94,94,92,"Georgia St. 14 seed, ✅",SB,10,8–2,105.6143,98.892,.681792,54.157,47.773,14.936,22.614,21.4325,31.9297,40.236,31.9180,51.3107,47.9112,38.455,31.770,71.441,-0.262
164,164,159,Georgia Tech,ACC,10,3–7,104.4159,103.4151,.5273159,49.3228,49.2114,19.2253,14.4325,24.9260,35.9343,26.7292,31.8178,48.4235,48.5130,33.9196,33.6130,65.4287,-1.8126
4,4,5,"Gonzaga 1 seed, ✅",WCC,10,9–1,122.26,89.110,.97435,59.65,43.98,14.527,17.1198,27192,26.5133,32.9143,19.54,63.22,427,34.3177,32.187,69.978,2.413
309,309,299,Grambling St.,SWAC,10,4–6,98.9258,110.7284,.2164299,54.545,45.224,21.1320,15.4292,24.4273,29209,41.921,43.3333,49.7176,4541,42.66,30.337,7073,-5.4289
170,170,165,Grand Canyon,WAC,10,5–5,106.2136,105.4197,.5212165,51.8130,51.5209,15.453,16.7222,26.1223,25.385,27.2284,24.131,51.2109,51.6248,35.1146,34.3160,69.497,-2.7171
189,189,183,Green Bay,Horz,10,6–4,101.7216,103.0147,.4637183,51160,51189,18.1196,20.451,25.9230,32.2301,3678,24.738,51.2109,51.4238,33.8199,33.6130,72.420,-2.1138
185,185,179,Hampton,BSth,10,5–5,112.046,113.3316,.4685179,52.3109,54.7304,112,16.7222,25.3249,24.978,34.7102,40.3312,53.750,51.1229,33.5212,39.7324,71.830,-3.7220
200,200,194,Hartford,AE,10,7–3,111.750,114.5327,.4298194,58.38,53259,16.182,17.6169,24.8265,27.6169,32.1169,24.635,56.220,51.5242,40.615,37250,65.9260,-2.1138
115,115,112,Harvard,Ivy,10,7–3,107.0125,102.0129,.6358112,50.7171,51.6211,20.9312,17.5175,31.467,22.528,30.8196,32.2186,50.5144,52.6272,34191,33.2113,67.5178,0.252
219,219,212,Hawaii,BW,10,5–5,104.2161,108.7257,.3817212,53.379,52.3238,16.8116,15.1306,25.8233,23.745,28.2264,28.584,49.7176,51.8253,39.334,35.5207,67202,-3.5211
245,245,237,High Point,BSth,10,5–5,100.5238,107.2228,.3225237,51.1155,49.3118,20.9312,14.2332,34.928,27.9183,34.6107,28.893,49.5188,50.8212,35.8129,31.872,64.3316,-3.7220
168,168,163,Hofstra,CAA,10,6–4,116.121,115.2330,.5219163,54.641,54.7304,12.46,15.7281,28.2162,34.8336,39.838,25.951,52.575,52.6272,38.749,39.1317,68.5134,-2134
280,280,271,Holy Cross,Pat,10,4–6,97.0286,106.5217,.2563271,51.8130,56.4332,15.348,2311,18349,31.3282,20.9348,22.512,5623,49.7171,29.8326,42.6348,65.7272,-4.5250
